0 min;;10 min;;20 min;;30 min;;40 min;;50 min;;60 min;;90 min;;120 min;;
Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;
799,9883423;-0,003506812965;799,9883423;-0,001292270375;799,9883423;-0,0008686920628;799,9883423;-0,006749796215;799,9883423;-0,006169483066;799,9883423;-0,006595727056;799,9883423;-0,005637865048;799,9883423;-0,00592671195;799,9883423;-0,007601340301;
798,982666;-0,004349202383;798,982666;-0,001430275268;798,982666;-0,001436828636;798,982666;-0,007092967629;798,982666;-0,005814854056;798,982666;-0,00691033341;798,982666;-0,006783437449;798,982666;-0,007117007393;798,982666;-0,007633287925;
798,0112305;-0,005432633217;798,0112305;-0,002013756428;798,0112305;-0,003004778875;798,0112305;-0,008487722836;798,0112305;-0,007204853464;798,0112305;-0,007157647982;798,0112305;-0,006852445193;798,0112305;-0,007881564088;798,0112305;-0,00806196034;
797,0047607;-0,003729125718;797,0047607;-0,000846319017;797,0047607;-0,001346878824;797,0047607;-0,007213967852;797,0047607;-0,006016944069;797,0047607;-0,006794956513;797,0047607;-0,005506251939;797,0047607;-0,005897703115;797,0047607;-0,006920371205;
795,9978638;-0,004031042103;795,9978638;-0,001635137363;795,9978638;-0,001550800167;795,9978638;-0,006765445229;795,9978638;-0,005317067727;795,9978638;-0,008053727448;795,9978638;-0,005982068833;795,9978638;-0,007105038501;795,9978638;-0,008465789258;
794,9905396;-0,004475735594;794,9905396;-0,002895405516;794,9905396;-0,003278066404;794,9905396;-0,008440250531;794,9905396;-0,007177559193;794,9905396;-0,008254829794;794,9905396;-0,006651253439;794,9905396;-0,008369463496;794,9905396;-0,008247311227;
793,9828491;-0,004165205639;793,9828491;-0,001017523464;793,9828491;-0,00267184223;793,9828491;-0,00735432934;793,9828491;-0,006416097749;793,9828491;-0,007845669053;793,9828491;-0,006229963154;793,9828491;-0,007123882882;793,9828491;-0,008592549711;
793,0095215;-0,004882553127;793,0095215;-0,001759369508;793,0095215;-0,001456900965;793,0095215;-0,006859885063;793,0095215;-0,005607763771;793,0095215;-0,007798888721;793,0095215;-0,006694231648;793,0095215;-0,007226544898;793,0095215;-0,008747993037;
792,0010376;-0,00453465851;792,0010376;-0,001331446692;792,0010376;-0,0017056379;792,0010376;-0,008371444419;792,0010376;-0,007277663331;792,0010376;-0,008007833734;792,0010376;-0,007406144869;792,0010376;-0,007654041983;792,0010376;-0,007969712839;
